Id,Data,Ano,TipoOcorre,LocalLogra,CruzLograd,Cruzamento,Bairro,Latitude,Longitude,dist_m,VitimaGrav,Ferido,Morte,Fatais,Motociclet,primary
760388,20240924,2024,BOLETIM,ESTR COSTA GAMA,,Nao,RESTINGA,-30.1350251545193,-51.1753925925492,147.8,0,0,0,0,0,False
762349,20241103,2024,BOLETIM,ESTR COSTA GAMA,,Nao,BELEM VELHO,-30.1334791598952,-51.1757223760046,27.9,2,2,0,0,0,True
765111,20241220,2024,BOLETIM,ESTR COSTA GAMA,ESTR TRES MENINAS,Sim,BELEM VELHO,-30.13330188,-51.175785,47.8,0,0,0,0,0,True
765109,20241220,2024,BOLETIM,ESTR COSTA GAMA,ESTR TRES MENINAS,Sim,BELEM VELHO,-30.13330188,-51.175785,47.8,0,0,0,0,0,True
767888,20250223,2025,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.13439188,-51.175462,78.3,0,1,0,0,0,True
770380,20250408,2025,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.13405308,-51.175552,40.2,0,1,0,0,1,True
771145,20250430,2025,BOLETIM,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13351478,-51.175767,24.1,0,0,0,0,0,True
772548,20250519,2025,BOLETIM,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13351478,-51.175767,24.1,0,0,0,0,0,True
772730,20250601,2025,BOLETIM,ESTR COSTA GAMA,,Nao,VILA NOVA,-30.13505801,-51.175374,151.8,0,0,0,0,0,False
772894,20250610,2025,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.13405308,-51.175552,40.2,0,0,0,0,0,True
774518,20250702,2025,BOLETIM,ESTR COSTA GAMA,,Nao,VILA NOVA,-30.1334850560631,-51.1757421345321,27.2,0,0,0,0,0,True
778847,20251119,2025,BOLETIM,ESTR COSTA GAMA,ESTR TRES MENINAS,Sim,BELEM VELHO,-30.13330188,-51.175785,47.8,1,1,0,0,1,True
790934,20251130,2025,BOLETIM,ESTR COSTA GAMA,,Nao,RESTINGA,-30.1343666368143,-51.1755341291428,73.5,0,0,0,0,0,True
792360,20251216,2025,BOLETIM,ESTR COSTA GAMA,ESTR TRES MENINAS,Sim,,-30.13330188,-51.175785,47.8,0,2,0,0,1,True
792315,20251216,2025,BOLETIM,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,BELEM VELHO,-30.13351478,-51.175767,24.1,0,0,0,0,0,True
793573,20260128,2026,BOLETIM,ESTR COSTA GAMA,,Nao,BELEM VELHO,-30.1353215921964,-51.1750232930521,189.9,0,0,0,0,0,False
794212,20260217,2026,BOLETIM,ESTR COSTA GAMA,,Nao,VILA NOVA,-30.132455,-51.175969,143.5,0,1,0,0,0,False
797454,20260331,2026,BOLETIM,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13351478,-51.175767,24.1,0,0,0,0,0,True
798598,20260407,2026,BOLETIM,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13351478,-51.175767,24.1,0,0,0,0,0,True
803613,20260809,2026,BOLETIM,ESTR TRES MENINAS,,Nao,VILA NOVA,-30.13349051,-51.175841,28.3,0,0,0,0,0,True
