segmento_id,trecho,estacao_m,dist_eixo_p4_m,idacidente,data,hora,dia_sem,latitude,longitude,log1,log2,tipo_acid,feridos,feridos_gr,fatais,moto,bicicleta,onibus
P4-S03,Av. Otto Niemeyer -> Estr. Aracaju,689.1,0.0,791459,20251112,,QUARTA-FEIRA,-30.100758610000000,-51.224733000000001,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,1,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1799.1,5.9,778554,20251114,09:40,SEXTA-FEIRA,-30.109412970000001,-51.219780000000000,AV VICENTE MONTEGGIA,,BOLETIM,2,1,0,1,0,0
P4-S03,Av. Otto Niemeyer -> Estr. Aracaju,675.0,20.3,791295,20251115,21:00,SABADO,-30.100746000000001,-51.224989000000001,AV OTTO NIEMEYER,,BOLETIM,0,0,0,0,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2037.4,0.9,792006,20251117,,SEGUNDA-FEIRA,-30.111198999999999,-51.218418000000000,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2358.1,0.9,780468,20251118,09:30,TERCA-FEIRA,-30.112473000000001,-51.215667000000003,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,1,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1481.3,16.3,794542,20251129,20:50,SABADO,-30.107217660000000,-51.221907000000002,AV VICENTE MONTEGGIA,R AMAPA,ATENDIMENTO,2,0,0,1,0,0
P4-S07,Estr. Joao Passuelo -> Av. Joao Salomoni / Av. Rodrigues da Fonseca,2723.6,4.9,791780,20251205,09:28,SEXTA-FEIRA,-30.113992509999999,-51.212662999999999,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,7.6,7.1,792091,20251211,06:40,QUINTA-FEIRA,-30.095172999999999,-51.225712999999999,AV CAVALHADA,R DR CAMPOS VELHO,BOLETIM,0,0,0,0,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1529.8,1.9,792092,20251211,12:03,QUINTA-FEIRA,-30.107644605095899,-51.221693605184598,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S07,Estr. Joao Passuelo -> Av. Joao Salomoni / Av. Rodrigues da Fonseca,2813.4,0.8,792102,20251213,13:22,SABADO,-30.114771260000001,-51.212406000000001,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4-S03,Av. Otto Niemeyer -> Estr. Aracaju,689.1,0.0,792500,20251216,06:40,TERCA-FEIRA,-30.100758610000000,-51.224733000000001,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,7.6,7.1,792303,20251217,08:45,QUARTA-FEIRA,-30.095172999999999,-51.225712999999999,AV CAVALHADA,R DR CAMPOS VELHO,BOLETIM,0,0,0,0,0,0
